,id,ppage,gender,educ,race,cat,voting_imp,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,difficulty,need_change
375,470545,63,Male,High school or less,White,sporadic,1,,,,,,,,,,1,2
376,470547,79,Male,College,White,always,1,,,,,,,,,,1,1
377,470548,74,Male,College,Black,sporadic,1,,,,,,,,,,2,1
378,470549,73,Male,Some college,White,sporadic,1,,,,,,,,,,1,1
379,470550,64,Female,High school or less,White,rarely/never,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,1
380,470552,61,Male,High school or less,White,always,1,,,,,,,,,,1,1
381,470554,75,Male,College,White,always,1,,,,,,,,,,1,1
382,470556,42,Female,College,White,sporadic,1,,,,,,,,,,2,2
383,470557,65,Female,High school or less,White,always,1,,,,,,,,,,2,1
384,470558,77,Female,High school or less,White,always,1,,,,,,,,,,1,1
385,470559,58,Female,Some college,White,sporadic,1,,,,,,,,,,1,1
386,470560,77,Male,College,Black,always,1,,,,,,,,,,1,2
387,470561,52,Female,College,Hispanic,always,1,,,,,,,,,,2,1
388,470562,90,Male,High school or less,White,always,1,,,,,,,,,,2,2
389,470564,35,Male,High school or less,White,rarely/never,3,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,3,2
390,470565,55,Male,College,Other/Mixed,sporadic,1,,,,,,,,,,3,1
391,470567,55,Female,Some college,White,rarely/never,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1
392,470568,59,Female,High school or less,White,sporadic,1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1,2
393,470570,73,Female,Some college,White,rarely/never,1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,2,1
394,470571,59,Male,High school or less,White,sporadic,1,,,,,,,,,,1,2
395,470572,32,Female,High school or less,White,rarely/never,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,1
396,470573,57,Female,Some college,White,always,1,,,,,,,,,,1,1
397,470574,68,Male,Some college,White,always,1,,,,,,,,,,1,1
398,470575,77,Male,College,White,rarely/never,4,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1,1
399,470576,65,Male,College,Black,rarely/never,1,,,,,,,,,,2,1
400,470577,63,Male,Some college,Black,sporadic,1,,,,,,,,,,1,1
401,470580,58,Female,High school or less,White,sporadic,1,,,,,,,,,,1,1
402,470581,45,Female,College,Hispanic,always,2,,,,,,,,,,1,1
403,470582,76,Female,Some college,White,sporadic,1,,,,,,,,,,1,1
404,470583,67,Female,Some college,White,always,1,,,,,,,,,,1,1
405,470584,82,Male,College,White,sporadic,1,,,,,,,,,,1,2
406,470585,78,Female,College,White,sporadic,1,,,,,,,,,,2,1
407,470586,69,Male,Some college,White,always,1,,,,,,,,,,1,1
408,470587,80,Male,Some college,White,always,1,,,,,,,,,,1,1
409,470589,60,Male,College,White,always,1,,,,,,,,,,2,2
410,470591,53,Male,Some college,White,sporadic,1,,,,,,,,,,1,2
411,470593,38,Female,College,White,sporadic,1,,,,,,,,,,1,1
412,470595,64,Female,College,White,always,1,,,,,,,,,,1,1
413,470596,69,Female,High school or less,White,always,1,,,,,,,,,,1,1
414,470597,81,Female,High school or less,White,always,1,,,,,,,,,,1,1
